author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls,og_dates
Alan Morton Dershowitz,"['Dershowitz, Alan M.(Alan Morton)']","""['Why terrorism works : understanding the threat, responding to the challenge ']""",[2002.0],"['New Haven, Conn ; London : Yale University Press,']",['eng'],['Terrorism'],['Includes bibliographical references and index.'],2002.0,2002.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKAgu92PuaLSCRYmLJQ4lHR34PUBZNtFC0QWLyZPYBCSllPfWXHD1jM2eU3Q&s'],['c2002.']
Alan Walker,"['Walker, Alan,1911-2003.', 'Walker, Alan,1930-']","""['God, the disturber', 'Liszt']""","[1975.0, 1971.0]","['London Hodder and Stoughton', 'London (3 Queen Sq., W.C.1.) Faber and Faber Ltd']","['eng', 'eng']","['Sermons, English.', 'Liszt, Franz, 1811-1886.']","['Originally published: Waco, Texas : Word Books, 1973', 'bibl p99']",1971.0,1975.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkpmlazaN4vrWitLfkV1NhYAt5J_LunB2zIjIp3AAE4crLRlXo-d75uDXwRwA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWV4echbp8jqYsPz4smmgT9b5TEjBdyQlsl_zfc12JGaHk8MTpAkJAlZShaw&s']","['1975', '1971']"
Alan Young,"['Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-', 'Young, Alan,1947 November 29-', 'Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-']","""['Not available.', 'Change ', 'Midnight light ', 'Not available.', 'Not available.', 'Just words ']""","[2007.0, 2006.0, 2012.0]","[nan, 'Aberdeen : Elizabeth Simon,', 'Aberdeen : Alexander Stuart Publications,', nan, nan, 'Aberdeen : Elizabeth Simon Press,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan]","['Title from cover.', 'Title from cover.', nan, 'Title from cover.', 'Library copy has a letter from the author dated 11 August 2020 loosely inserted.', nan]",2006.0,2012.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRILiAJpvRX1IC0jUkzoClrf-YMx8jtGxLjaJrNz_gV_wpbzSBh2BXokRN7aHg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-Rf4cNVUzJwFdaL-ntKkLGMZHjsXdlRqlJiNGYtqg36uH_dbWUekLf63W0Q&s']","[nan, '2007.', '2006.', nan, nan, '2012.']"
Alastair Burnet,"['Burnet, Alastair.']","""['The ITN book of the Queen Mother']""",[1985.0],"[""[London?] Independent Television News in association with Michael O'Mara Books""]",['eng'],"['Elizabeth, Queen, consort of George VI, King of Great Britain, 1900-2002.']",['Ill on lining papers'],1985.0,1985.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsurgHEiLwe8mrUQkugqnvBbywdy1390eL7mnMuo3q7Yr2UDnkpEDH6EUWq3c&s'],['1985']
Albert Halper,"['Halper, Albert,1904-1984.']","""['The Chicago crime book']""",[1968.0],['London Souvenir P'],['eng'],['Crime'],"['Originally published, Cleveland: World Publishing Co., 1967']",1968.0,1968.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAKiw5r2rUFhumqslWxAIFiV5-PZFFipXlyEFBpCDjiilKoYp4Y162Chx5CQ&s'],['1968']
Albert Wendt,"['Wendt, Albert,1939-']","""['Nuanua : Pacific writing in English since 1980 ']""",[1995.0],"['Auckland : Auckland University Press,']",['eng'],['Pacific Island literature (English)'],[nan],1995.0,1995.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQq7kHjTbGQTq7T6aIbk8-RlV5ySfeRilVwVebuV8Sb9dllxbWcMfSrOmsK9w&s'],['1995.']
Aldous Huxley,"['Huxley, Aldous,1894-1963.', 'Huxley, Aldous,1894-1963.', 'Huxley, Aldous,1894-1963.']","""['Music at night, and other essays.', 'Ends and means : an enquiry into the nature of ideals and into the methods employed for their realization ', 'Adonis and the alphabet, and other essays.']""","[1931.0, 1937.0, 1956.0]","['London, ', 'London : Chatto & Windus,', 'London, ']","['eng', 'eng', 'eng']","[nan, 'Social problems.', nan]","[nan, 'Includes bibliographical references and index.', nan]",1931.0,1956.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0jv_j0KgKVEFUGOULiBBYuVzM7StFq-f9nGR8NRG9obpiwvrRNj7sddMUKg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG-1eqdGW7COMuVSkn1FlBSliYm8zdgc-dr0CCWi_l53gZWfRTDW5gX7uCiAs&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0BVuNtA_wOlBjIGSahvIcCzJ4UU3_V-Xen5lIhLiaaxMR4TFlLoPiXr73R1I&s']","['1931.', '1937.', '1956.']"
Aleister Crowley,"['Crowley, Aleister,1875-1947.']","""['Amphora']""",[1908.0],['London Burns and Oates'],['   '],[nan],[nan],1908.0,1908.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPO_eA3Lx9AqZW7mOmIKsvADzWkkTidVyRNpbTowqfszpqY6rDrQemtq9v3g&s'],['1908']
Aleksandr Aleksandrovich Blok,"['Blok, Aleksandr Aleksandrovich,1880-1921.', 'Blok, Aleksandr Aleksandrovich,1880-1921.Snezhnai︠a︡ maska.']","""['Aleksandr Blok o simvolizme = Alexander Blok on symbolism', 'A. Blok's The snow mask An interpretation']""","[1974.0, 1970.0]","['Letchworth Prideaux Press', 'Stockholm universitetet, Almqvist & Wiksell']","['rus', 'eng']","['Symbolism in literature.', 'Blok, Aleksandr Aleksandrovich, 1880-1921.']","[""Originally published: as 'O sovremennom sostianii russkogo simvolizma'. St Petersburg : Alkonost, 1921"", 'Includes bibliographical references']",1970.0,1974.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9rmQTmKndgPsFsqQezLmVWWL-8gXGjYgSpazOsrsQuGLGqVb0AmhV0ZKT2w&s', 'https://www.uoduckstore.com/TDS%20Product%20Images/QuickStudy%20Book%20for%20Calculus_1.jpg?resizeid=3&resizeh=195&resizew=195']","['1974', '1970']"
Aleksandr Isaevich Solzhenitsyn,"['Solzhenit︠s︡yn, Aleksandr Isaevich,1918-2008.']","""['Apricot jam and other stories ']""",[2011.0],"['Edinburgh : Canongate,']",['eng'],"['Solzhenit︠s︡yn, Aleksandr Isaevich, 1918-2008']",[nan],2011.0,2011.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsXpaveRxBg2G8kaoSDZXmt4CTGto6hjOkB0n94yJ7HceAn_YiHro46_kFq_A&s'],['2011.']
Aleksandr Sergeevich Pushkin,"['Pushkin, Aleksandr Sergeevich,1799-1837.', 'Pushkin, Aleksandr Sergeevich,1799-1837.', 'Pushkin, Aleksandr Sergeevich,1799-1837.Evegniĭ Oniegin.1965']","""['Pesnʹ o Veshchem Olege ', 'Sobranie sochineniĭ ', 'Notes on prosody from the commentary to his translation of Pushkin's Eugene Onegin.']""","[1958.0, 1968.0, 1965.0]","['Moskva,', 'Moskva :  Khudozhestvennai︠a︡ literatura, ', 'London, ']","['rus', 'rus', 'eng']","[nan, nan, nan]","[nan, nan, nan]",1958.0,1968.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmMbKzEu11Uc_LApTKiUUQE7iWcyN8RWrQZj1nltsjJG6jaD_-SUAsLnKf3bc&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMthVFkZvPr0Xd06WwNc5DoFpnjCEKYOQqlS_Xibsqf1cJH4XD4jznAIY5XJc&s', 'https://www.uoduckstore.com/TDS%20Product%20Images/QuickStudy%20Book%20for%20Calculus_1.jpg?resizeid=3&resizeh=195&resizew=195']","['1958.', '1967-1970.', '1965.']"
Alex Comfort,"['Comfort, Alex,1920-2000.']","""['The joy of sex : a gourmet guide to lovemaking ']""",[1986.0],"['London : M. Beazley,']",['eng'],[nan],[nan],1986.0,1986.0,1,['//www.gstatic.com/search_trustx/visibility_off_icon_p600-fc0fcd3cc6b30b7d85289bc9f0a7298a.png'],['1986.']
Alex Garland,"['Garland, Alex,1970-']","""['The beach ']""",[2007.0],"['London : Penguin,']",['eng'],['Beaches'],"['Originally published: London: Viking, 1996.']",2007.0,2007.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThKQDEidviHuqxPLJOaFuPvAN3tdOBuK8IN7tvL9_iu9kInEWPck-qPu6eKw&s'],['2007.']
Alexander Cunningham,"['Cunningham, Alexander,1655?-1730.']","""['Alexandri Cuningamii animadversiones, in Richardi Bentleii notas et emendationes ad Q. Horatium Flaccum.']""",[1721.0],"['Hagae Comitum : apud Thomam Jonsonium,']",['lat'],[nan],['ESTC'],1721.0,1721.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmspieENp7o5OwpaaebvbjFixDadXocVXmzsPY6ksTQ8Zto98vzlinpDW5u8I&s'],['1721.']
Alexander Melville Bell,"['Bell, Alexander Melville,1819-1905.']","""['Letters and sounds: an introduction to English reading, on an entirely new plan.']""",[1855.0],"['London, ']",['eng'],[nan],[nan],1855.0,1855.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4qiZIAIvgHlD4u0eSCyTjxCZS54P_nBv5o4qaGWUuQs5D66Ts43kmyO1U5zk&s'],['[1855]']
Alfred Hitchcock,"['Hitchcock, Alfred,1899-1980.', 'Hitchcock, Alfred,1899-1980.', 'Hitchcock, Alfred,1899-1980.', 'Hitchcock, Alfred,1899-1980.']","""['Alfred Hitchcock's solve-them-yourself mysteries', 'Alfred Hitchcock presents a month of mystery', 'Alfred Hitchcock's Tales of suspense.', 'Guaranteed rest in peace and other macabre tales.']""","[1968.0, 1973.0, 1987.0, 1966.0]","['London : New English Library', 'London Pan Books,', 'London : Octopus,', 'London,']","['eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan]","['Originally published Random House 1963 (B65-18869) Reinhardt 1965', 'Originally published in one vol., New York: Random House, 1969; London: Reinhardt, 1970', nan, nan]",1966.0,1987.0,4,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvF-hQQj5DtGvPuxGv1eFnAV0Jqmt-tA_rN7zuVF8gFp4OqpDO8mDiFNNwUQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCCOXD5_YvU5G_ZTMgj4BLxltAnebQ9d5y5tTg_pjQH_4UrEEGJPg-wqDEsQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV0oKcwSu91SJagyvjT2N6uxlhQgUV9QkooYrnngbBABFrYK80i4SGoyhopLQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBh8REoDhKPHEmZmYlI3biRRNnoXHaqcT7qqHM2f_idrCSLQ9Oeognu-OSTqs&s']","['1968', '1973', '1987.', '1966.']"
Alison Lurie,"['Lurie, Alison.', 'Lurie, Alison.', 'Lurie, Alison.']","""['Imaginary friends ', 'Love and friendship', 'The language of clothes']""","[1967.0, 1986.0, 1983.0]","['London : Heinemann,', 'Sphere', 'Feltham Hamlyn']","['eng', 'und', 'eng']","[nan, nan, 'Clothing and dress']","[nan, nan, 'Bibliography: p262-266']",1967.0,1986.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsnRex6_luT370MUCqUId1GR-_iU2E00P7C5uwx7_Yvql3dRYNLcfvJ65mHA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhTNhT3n0a6SV0zNbWoka-Wde0jo1sT5_4m21-86ZM58cgSPUjNFrNgBBbzHA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeYMYxN3XJ8fspkx6fj71gS6EO9Xyw5cO5GV5Z0QzL5KRBbgKrK8lrhzR5MFU&s']","['1967.', '1986', '1983']"
Alison Uttley,"['Uttley, Alison,author.', 'Uttley, Alison,1884-1976.', 'Uttley, Alison,1884-1976.']","""['Not available.', 'Little Grey Rabbit's paint-box ', 'The country child ']""","[1958.0, 1993.0]","[nan, 'London,', 'Oxford : ISIS Large Print,']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, nan, 'First published in Great Britain: [London] : Faber & Faber, 1936.']",1958.0,1993.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcjGCfsqn39wvtfJFBChW8iIUixwIknAm8a1pIeVeYXteYC-LSjlliOOFclQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbSS-D2vDD5pkBVDDOCiS4JTRoIcrd-SN6jxJZKFrHGR2KDjed4orlZN5orA&s']","[nan, '[1958]', '1993.']"
Alistair Horne,"['Horne, Alistair.', 'Horne, Alistair,1925-', 'Horne, Alistair.']","""['The land is bright. A portrait of America.', 'Macmillan : 1957-1986.', 'The price of glory. Verdun 1916. [With plates, including portraits, maps and a bibliography.]']""","[1958.0, 1989.0, 1962.0]","['London, ', 'London : Macmillan London,', 'London, ']","['eng', 'eng', 'eng']","[nan, 'Prime ministers', nan]","[nan, nan, nan]",1958.0,1989.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7nhmnWJUx9090S0dBMfJJ8v3pbpbl6Ye0AxGPcYMQ0Q-NTJM3UM6HKunMyHk&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0ayN7gaGZ07fj4Wt3sJJZlZ7nn4uZJlf9uQD6GA66U-Z-FRq2tPmc4xr26X0&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXK76cOToYdwCzWmJpZe5LcZCZh6o1nmFDPsZEv6hY2DDZRv8pDXVUEsccco8&s']","['[1958]', '1989.', '1962.']"
Ama Ata Aidoo,"['Aidoo, Ama Ata,1942-']","""['Ama Ata Aidoo the dilemma of a ghost']""",[1980.0],['Harlow Longman'],['eng'],"['Aidoo, Ama Ata 1942-']",[nan],1980.0,1980.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFpEYMT1IH7q9Kk_KyR-sWRHGSyvIR8rRnR4X_GJZVhQIWSde3Y5BH0p78JA0&s'],['1980']
Ambrose Bierce,"['Bierce, Ambrose,1842-1914?']","""['Civil War stories ']""",[1994.0],"['New York : Dover ; London : Constable,']",['eng'],"['War stories, American.']","['""A new selection of sixteen stories from The collected works of Ambrose Bierce, volume I and II, first published in 1909 by the Neale Publishing Company, New York""--T.p. verso.']",1994.0,1994.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWWvN4ukuD7Oj2JwxgrNrpd4oR2J7jCupDcz3GVPTPhP6LNlxK5zcEDU_H6MM&s'],['1994.']
Amelia Reynolds Long,"['Long, Amelia Reynolds.']","""['Symphony in murder.']""",[1953.0],"['London, ']",['eng'],[nan],[nan],1953.0,1953.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAlHgxNT3WTqAcbr3gjAeSTeCGdhb8v8kR3RYgMHNdfGaoJg79EnaYWK2qCw&s'],['1953.']
Andre Dubus,"['Dubus, Andre,1936-']","""['Selected stories ']""",[1990.0],"['London : Picador,']",['eng'],[nan],[nan],1990.0,1990.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwgzwYH0U7KLyvU8bLPS_iZORBj3JPwAHYDc3goNru31R7u-GYsFZmunJ_Bc8&s'],['1990.']
Andrea Camilleri,"['Camilleri, Andrea,1925-']","""['La mossa del cavallo ']""",[2011.0],"['Milano : BUR Rizzoli,']",['ita'],[nan],['First publ. 1999 by Rizzoli.'],2011.0,2011.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIzeGbEH-D6i_CgIF1SpyMGdIHehee8VF56qgBrI2oYxc5GPbRugxDvWvUw54&s'],['2011.']
Andrew Lang,"['Lang, Andrew,1844-1912,author.', 'Lang, Andrew,1844-1912.', 'Lang, Andrew,1844-1912.', 'Lang, Andrew,1844-1912.', 'Lang, Andrew,1844-1912.']","""['Not available.', 'The world of Homer.', 'Letters to dead authors', 'The most pleasant and delectable tale of the marriage of Cupid and Psyche ', 'Custom and myth.']""","[1910.0, 1891.0, 1887.0, 1904.0]","[nan, 'London, New York, ', ""New York C. Scribner's Sons"", 'London,', 'London, ']","['eng', 'eng', 'eng', 'eng', 'eng']","['History.', nan, 'Literature.', nan, nan]","['""These essays, which appeared, with two exceptions, in the Cornhill magazine, 1904, have been revised, and some alterations, corrections, and additions have been made in them.""-Preface.', nan, nan, nan, nan]",1887.0,1910.0,4,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUPAdKMtKT26mkhfucNXu8JPu4ra7dGOb9Lbtu4WtB9xxBMqzE_iX2etz4FA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSps2ZonHhKiS8vZDobtwAFehDZhNQn71q51w18Wj10wjImHbwlbcOgrAGQfA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUMK9Efi0_5a86BiNXQcO_4kOrLfrB3ycHHb5NIXBIWAi1xCETZ5neCgmg0lQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqmlbmhu7qOcCsvfTnsfTMVzv2P4bXpGfCLJh145upDc_NEBI3D2DloOcoqGw&s']","[nan, '1910.', '1891', '1887.', '1904.']"
